,id,주류,중분류,주류명,생산국가,생산자/제조사,포도품종,주원료,용량,도수,음용온도,추천음식,특징,당도,바디,산도,타닌,맛
0,1,와인,레드,"7 컬러즈, '그랑 리제르바' 카베르네 소비뇽 뮈스카",칠레,세븐 컬러즈 7 Colores,"카베르네 소비뇽 (Cabernet Sauvignon) 95%, 뮈스까 (Muscat) 5%",,750,13.5,16~18 ℃,"채끝 스테이크, 크림 파스타, 블루치즈 버거 등과 잘 어울린다.",,1.0,3.0,3.0,3.0,바디 산도 타닌 
1,2,와인,레드,"GCF, 꼬뜨 드 뵈프",프랑스,GCF 그룹 GCF Group,"시라/쉬라즈 (Syrah/Shiraz) , 마르셀란 (Marselan)",,750,13.0,16~18 ℃,"뵈프 부르기뇽, 안심 찹 스테이크, 로스트 비프 스테이크 등과 잘 어울린다.",,1.0,3.0,3.0,2.0,바디 산도 타닌 
2,3,와인,화이트,"가트, 리슬링",호주,가트 와인즈 Gatt Wines,리슬링 (Riesling) 100%,,750,11.5,10~12 ℃,"샐러드, 해산물, 치즈 등과 잘 어울린다.",,2.0,4.0,3.0,1.0,당도 바디 산도 
3,4,와인,레드,갈로 리빙스톤 콩코드,미국,갤로 패밀리 빈야드 Gallo Family Vineyard - E&J Gallo Winery,콩코드 (Concord),,750,11.0,14~16 ℃,"소시지, 육포, 떡볶이, 순대, 튀김, 족발, 만두, 자장면 등과 잘 어울린다.",,1.0,4.0,3.0,3.0,바디 산도 타닌 
4,5,와인,주정강화,글로리아 토니 포트 와인,포르투갈,빈센테 파리아 비뉴스 Vincente Faria VInhos,"틴타 로리즈 (Tinta Roriz) , 투리가 프란카 (Touriga Franca) , 투리가 나시오날 (Touriga Nacional) , 틴타 바로카 (Tinta Barroca) , 틴토 까오 (Tinto Cao)",,750,20.0,14~16 ℃,"리코타, 크림치즈, 말린과일, 케이크, 초콜렛 등 디저트와 잘 어울린다.",,4.0,2.0,4.0,3.0,당도 바디 산도 타닌 
5,6,와인,레드,"기욤 르탕, 루비 루즈",프랑스,기욤 르탕 Guillaume Letang,그르나슈 (Grenache),,750,14.0,16~18 ℃,"소고기, 스테이크, 불고기, 양꼬치, 족발, 한국음식, 피자, 햄버거 등과 잘 어울린다.",,1.0,3.0,3.0,3.0,바디 산도 타닌 
6,7,와인,화이트,"까브 드 루그니, 마콩 루그니 유진 블랑 샤르도네",프랑스,까브 드 루그니 Cave de Lugny,샤르도네 (Chardonnay) 100%,,750,13.5,10~12 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,1.0,4.0,3.0,1.0,바디 산도 
7,8,와인,화이트,"깐티네 포베로, 모스카토 다스티 '캄포 델 팔리오'",이탈리아,깐띠네 포베로 Cantine Povero,모스카토 (Moscato ) 100%,,750,5.5,6~8 ℃,"샐러드, 크림치즈, 리코타, 말린과일, 초콜릿, 스낵 등 디저트와 잘 어울린다.",,4.0,2.0,2.0,1.0,당도 바디 산도 
8,9,와인,레드,꼬모 까베르네 소비뇽,칠레,운두라가 Undurraga,카베르네 소비뇽 (Cabernet Sauvignon),,750,13.0,16~18 ℃,"육류, 숙성 치즈, 묵직한 소스를 곁들인 파스타 등과 잘 어울린다.",,1.0,2.0,3.0,3.0,바디 산도 타닌 
9,10,와인,스파클링,노비볼레 로마냐 스푸만테 비앙코,이탈리아,까비로 Caviro sca-Forli,"트레비아노 (Trebbiano) , 샤르도네 (Chardonnay) , 파모소 (Famoso)",,750,11.0,6~8 ℃,식전주 및 가벼운 생선 요리 또는 전채 요리 등과 잘 어울린다.,,2.0,4.0,3.0,1.0,당도 바디 산도 
10,11,와인,레드,"다렌버그, 데드암 쉬라즈",호주,다렌버그 d'Arenberg,시라/쉬라즈 (Syrah/Shiraz) 100%,,750,14.0,16~19 ℃,"진하고 풍부한 소스의 구운고기요리, 양고기 스테이크, 파스타 등과 잘 어울린다.",,1.0,4.0,5.0,5.0,바디 산도 타닌 
11,12,와인,화이트,"다리오 프린칙, 리볼라 지알라",이탈리아,다리오 프린칙 Dario Princic,리볼라 지알라 (Ribolla Gialla) 100%,,750,12.0,14~16 ℃,"흰살생선, 생선구이, 새우, 해산물, 건육, 프로슈토, 다양한 치즈, 파스타 등과 잘 어울린다.",,1.0,4.0,4.0,2.0,바디 산도 타닌 
12,13,와인,화이트,"다리오 프린칙, 야콧",이탈리아,다리오 프린칙 Dario Princic,야콧 (Jakot) 100%,,750,13.5,14~16 ℃,"닭고기, 연어, 참치, 다양한 치즈, 리조또, 파스타 등과 잘 어울린다.",,1.0,4.0,4.0,2.0,바디 산도 타닌 
13,14,와인,레드,"다리오 프린칙, 카베르네 소비뇽",이탈리아,다리오 프린칙 Dario Princic,카베르네 소비뇽 (Cabernet Sauvignon) 100%,,750,13.0,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,1.0,4.0,5.0,4.0,바디 산도 타닌 
14,15,와인,화이트,"다리오 프린칙, 트레베즈 리제르바",이탈리아,다리오 프린칙 Dario Princic,"샤르도네 (Chardonnay) , 소비뇽 블랑 (Sauvignon Blanc) , 피노 그리지오 (Pinot Grigio) , 피노 비앙코 (Pinot Bianco)",,750,13.0,14~16 ℃,"돼지고기, 삼겹살, 베이컨, 치킨, 피자, 파스타, 다양한 치즈, 동남아요리, 아시아요리, 전, 편육, 한국요리 등과 잘 어울린다.",,1.0,4.0,3.0,2.0,바디 산도 타닌 
15,16,와인,화이트,"다리오 프린칙, 피노 그리지오",이탈리아,다리오 프린칙 Dario Princic,피노 그리지오 (Pinot Grigio) 100%,,750,12.5,14~16 ℃,"해산물, 조개구이, 새우, 야채, 버섯, 튀김, 아시아요리 등과 잘 어울린다.",,1.0,4.0,3.0,2.0,바디 산도 타닌 
16,17,와인,레드,"더 프리즈너, 나파 밸리 레드 블렌드",미국,더 프리즈너 와인 컴퍼니 The Prisoner Wine Company,"진판델 (Zinfandel) , 카베르네 소비뇽 (Cabernet Sauvignon) , 쁘띠 시라 (Petite Sirah) , 샤르보노 (Charbono)",,750,15.2,15~17 ℃,"양고기, 양갈비, 스테이크, 갈비, 불고기, 말린과일, 견과류 와 잘 어울린다.",,1.0,4.0,5.0,5.0,바디 산도 타닌 
17,18,와인,레드,"더치 홉, 쉬라",남아프리카,더치 홉 와이너리 Dutch Hope Winery,"시라/쉬라즈 (Syrah/Shiraz) , 무르베드르 (Mourvedre)",,750,14.0,16~18 ℃,"소고기, 스테이크, 갈비찜, 양념갈비, 양갈비, 라자냐, 스튜, 크림파스타, 숙성 치즈 등과 잘 어울린다.",,1.0,3.0,4.0,4.0,바디 산도 타닌 
18,19,와인,화이트,"더치 홉, 슈냉 블랑",남아프리카,더치 홉 와이너리 Dutch Hope Winery,"슈냉 블랑 (Chenin Blanc) , 비오니에 (Viognier)",,750,13.0,8~10 ℃,"해산물, 새우, 문어숙회, 다양한 치즈, 건육 등과 잘 어울린다.",,1.0,0.0,1.0,1.0,
